qoss qsim
0.1479391 0.4644454
-0.09125455 0.2097644
0.0852196 0.7952155
0.3508928 0.5525524
-0.1422954 -0.03203188
0.2511649 -0.2155801
-0.6046659 -1.402747
-0.01338106 -0.6031468
-0.4267524 -0.7327512
-0.3876828 -0.1560517
-0.4644803 -0.4825687
0.003975861 -0.09505184
0.0003772713 -0.5684867
0.3556772 0.03845297
0.3645774 0.2977625
0.03484841 0.1222634
0.2287451 0.3194957
0.6541688 0.2907094
0.4145662 0.5322563
-0.02548601 0.1478844
-0.1117707 0.499494
-0.1795586 0.2814773
0.04822565 -0.1567348
-0.2940154 -0.007902775
-0.4137169 0.1790881
0.1720166 0.5182572
-0.2206996 0.5208167
-0.3105797 -0.05233603
-0.5526098 0.7677939
-0.213412 -0.00002845731
0.0195584 0.3739658
0.04939148 0.2385736
-0.07426437 0.5211329
-0.3535302 0.09111
0.2331341 0.1926654
0.3381847 0.2987993
-0.02756522 0.9872576
0.5526944 0.2044818
-0.2178807 0.3837654
0.04865379 -0.05235082
0.05533997 0.1931889
-0.1877155 0.02214535
0.3446631 0.288993
-0.146617 -0.1788344
-0.4774376 0.1604507
-0.1660851 0.422612
-0.1821053 0.2968576
-0.2680232 -0.3396079
-0.0008016007 0.2636332
0.5309833 0.1444772
-0.356314 -0.1896264
-0.5682535 0.08470658
-0.4236419 -0.1531269
-0.2780639 0.1489529
-0.6906197 -0.1612268
-0.4012801 -0.006183978
-0.3590635 0.1214339
-0.2427845 -0.1894917
-0.466617 0.1901338
-0.3895392 -0.1825989
-0.2953013 -0.3093723
-0.3424163 -0.3300398
-0.3335521 0.08221931
-0.03824375 0.1006719
0.1225322 0.09994367
0.01291224 0.4256643
0.2796445 0.3999507
-0.05909561 0.1058623
-0.1868724 0.1795674
0.06895641 -0.01934407
0.2437918 0.2861665
0.4024886 0.2517556
0.1632885 -0.3938674
0.0867733 -0.4714104
0.1926796 0.1084489
0.1979659 0.2319089
0.362338 -0.03257025
0.2958715 0.1774214
-0.03965246 0.6540169
0.04383765 -0.2448624
-0.4151627 0.3166369
-0.1390529 -0.01598756
-0.1170643 -0.05387146
-0.09811669 0.278235
0.1682092 -0.1813477
-0.03562135 0.1265899
-0.09928486 -0.00547122
-0.248391 0.2461059
-0.03853929 0.1166412
-0.264709 0.06376621
-0.02068757 0.1989343
-0.3782641 0.2192545
-0.2391661 0.4764695
-0.1190718 0.3131499
0.06043126 -0.4467608
0.08546245 -0.2715078
-0.4720483 -0.1969937
0.05847081 -0.02426465
-0.2263177 -0.5072968
0.1939506 0.07691878
-0.1212322 0.4062216
0.05163052 -0.08180139
0.1339312 0.1632879
0.4879157 0.02862596
0.04541497 0.3902525
-0.016046 0.4849726
0.2281283 -0.1782854
0.1311604 0.1881127
0.3155497 0.4788249
0.3196628 0.6200696
0.04412857 0.1657241
