dmodelsim dmodelsim1 dmodelsim2
29.01161 22.56186 23.56812
32.17789 30.02626 23.24737
26.92744 22.63271 18.96004
21.70265 18.5008 15.45154
18.1971 16.09201 13.13573
16.67395 15.26843 11.51723
52.56383 55.91754 34.47495
55.06601 46.11799 31.54214
35.46445 24.04232 22.34092
22.96715 17.4696 17.31286
17.43054 15.48973 14.23154
15.12927 14.41434 12.17888
14.7917 14.4963 11.05045
14.84241 14.33575 10.3265
13.7262 12.63891 9.338938
12.70623 11.56031 8.561813
11.99434 10.82688 7.935822
11.42678 10.15918 7.419673
10.91513 9.522901 6.989761
10.45207 8.946005 6.625279
10.79933 9.413405 6.593942
11.05662 9.458455 6.719424
23.65534 22.70704 14.65336
25.3951 20.63432 13.1326
98.28848 103.0377 71.43975
76.81924 54.02964 43.49868
55.74877 40.35016 36.88272
36.95098 27.84015 27.49177
25.90585 22.34349 21.55075
20.38319 19.84824 17.69567
122.9992 137.6424 121.6224
234.498 228.2486 305.6503
147.6026 94.8114 76.29387
81.95191 56.83277 47.394
55.82933 52.02644 39.0068
37.16743 39.58138 27.61499
27.37895 34.16432 21.25171
23.5465 32.14881 17.58585
28.19038 37.59279 18.33064
39.91306 48.19939 23.21742
44.03635 48.07072 25.66332
31.63167 32.33967 19.55446
22.92877 26.55397 15.87163
19.51834 25.12736 13.75914
81.56108 95.50222 69.8029
61.16747 50.32175 36.98819
44.78961 40.24418 30.31096
48.20194 50.12662 34.23887
49.65905 50.2952 35.45321
41.11947 40.05714 29.29647
31.89992 32.57832 23.54673
24.87738 27.51441 19.05586
22.41477 26.59197 16.73642
78.81792 90.61372 63.10673
62.49944 52.0929 38.74061
40.4506 34.12657 27.6835
29.531 29.84642 22.24041
28.15364 31.64542 20.64082
27.68367 30.95645 19.32898
23.77835 26.17916 16.8143
20.89757 23.81718 14.7307
22.98573 26.64635 14.85837
19.51948 21.44634 13.02322
31.48318 35.7737 17.6059
38.58049 39.20957 21.16702
51.74818 51.6612 30.22523
46.25033 41.10867 28.61256
37.62123 33.81161 24.99701
46.92591 47.58501 31.74396
37.64208 33.808 25.49424
35.85394 35.27946 24.83396
25.91387 24.6754 19.43237
18.53372 19.58398 15.55403
14.93294 17.62664 13.04276
13.29412 16.43352 11.30353
29.26112 34.37828 18.73475
53.28582 55.61194 30.8278
69.12198 65.37816 43.64777
88.87955 83.15587 68.04328
88.88004 77.55519 68.59195
117.5904 111.6989 114.9591
135.3512 123.3008 132.6561
94.18625 72.75517 67.2641
75.1135 67.77928 59.13177
49.71067 46.24329 38.01991
33.7824 36.97392 26.92442
30.4865 38.03357 23.31722
110.0437 128.2167 113.7358
137.225 130.7205 131.1302
83.36963 62.41637 51.32602
75.13583 73.98186 59.21182
49.24441 47.63551 34.70438
32.76317 37.68808 24.46756
25.37417 34.10615 19.03981
23.3887 33.31654 16.76795
23.8313 33.42709 16.85745
31.10126 39.56607 20.26663
27.21747 32.00309 16.55485
39.52277 46.74233 22.15947
40.69174 43.12101 23.19941
126.3046 139.4069 131.958
86.41729 64.59365 50.88777
83.26469 77.46007 64.14412
52.37698 44.37056 36.00339
32.96879 33.52875 24.80788
42.35118 50.23247 33.31139
66.95053 73.87967 50.38494
46.58206 41.94561 30.8166
30.62981 31.37007 22.18647
42.31563 49.63109 31.65241
48.21954 51.43941 32.57594
34.12391 33.16149 23.02623
24.47294 27.02904 17.80467
21.80179 27.0132 15.16719
19.02955 23.76363 12.83774
17.23667 21.84882 11.15446
16.12865 20.43946 9.882684
15.33349 19.19108 8.882252
14.66608 18.03 8.06859
14.05608 16.94071 7.391736
13.58288 16.06016 6.832394
12.99531 15.0037 6.362968
12.43223 14.07064 5.964691
15.69712 18.47366 8.180946
14.91959 15.66362 7.40511
12.74081 12.82921 6.745955
11.30131 11.58783 6.198626
10.49112 10.83674 5.741859
19.68074 23.44316 17.4557
15.90051 14.24073 11.13123
12.19868 10.94874 9.374828
10.38973 10.00733 8.088312
13.63596 14.98731 9.702115
17.33075 18.2549 12.33192
13.20459 11.27931 10.18174
10.11893 8.992282 8.631063
21.36323 24.4577 22.73863
19.09569 16.81145 16.02438
17.46306 15.67129 14.96046
13.96046 12.16428 11.9328
10.26551 9.069799 9.880559
15.90585 17.11114 13.03265
12.19886 10.43488 10.65754
18.19008 18.52631 14.83521
13.30378 10.75858 11.83532
9.359112 8.076958 9.771994
58.66892 51.19207 40.07864
96.53735 86.24619 60.19489
87.88346 67.90298 52.0462
51.25522 32.91484 31.12838
30.23888 23.75204 22.86195
26.99502 26.5903 21.56553
19.66067 19.60276 16.23587
33.2945 37.25922 21.66553
24.40114 22.31162 16.34593
16.73257 16.89821 13.07119
56.10848 63.68238 37.72909
39.83964 31.57175 22.39641
26.31096 23.15873 17.86323
17.85832 18.32063 14.06819
14.57382 17.26499 11.63829
24.29013 27.88185 16.41257
19.59503 19.43531 13.19785
14.14209 14.9073 10.97401
12.73401 15.2214 9.424939
15.07143 18.4709 9.821392
17.21205 19.88385 10.42829
18.7706 20.67476 11.08676
15.02509 15.29124 9.490963
12.35058 13.36207 8.288521
10.7758 12.24365 7.367867
10.67883 12.53304 6.657529
11.18002 12.99506 6.098821
11.89043 13.52951 5.715672
9.605014 10.06384 5.307767
7.966906 8.708567 4.941681
7.108397 8.045058 4.612622
6.631395 7.538154 4.314369
6.302364 7.079961 4.041631
6.028352 6.651949 3.791631
7.421109 8.638834 3.575623
6.737316 6.887636 3.377598
5.885316 5.892213 3.197123
5.350357 5.410796 3.033773
5.019763 5.063157 2.885448
4.778094 4.75433 2.751297
8.412179 10.26259 4.755483
8.725311 8.948297 3.748705
6.579863 5.701035 3.481882
6.709362 6.957844 3.485116
6.155342 6.056284 3.261214
4.966704 4.547525 3.063239
4.224828 3.976325 2.887929
3.835244 3.683148 2.731643
3.604931 3.452714 2.59203
9.024968 11.66846 6.280642
6.863848 5.877144 3.794718
4.777785 3.932486 3.475766
3.738207 3.393112 3.206813
3.277344 3.141414 2.977674
3.04474 2.945204 2.780689
2.897344 2.775905 2.610001
2.806714 2.661738 2.461516
7.59434 10.08864 5.111122
5.691829 4.853234 3.247345
3.883912 3.150035 2.996036
2.977816 2.673785 2.782768
2.580483 2.465806 2.600048
2.386051 2.310218 2.442421
2.310959 2.247959 2.305764
6.389944 8.689939 4.272976
5.141711 4.72753 2.824536
3.710635 3.246832 2.630499
2.766496 2.532618 2.464286
2.266447 2.201115 2.320654
2.024745 2.031534 2.195821
1.896918 1.910508 2.086706
1.802788 1.789632 1.990717
1.723394 1.679986 1.905866
1.651237 1.578226 1.830558
1.58336 1.482854 1.828672
6.887491 10.18894 4.9416
4.889367 4.261404 2.472638
2.957303 2.345817 2.319914
2.02618 1.889429 2.188487
1.647594 1.72658 2.074566
1.485426 1.615557 1.97527
1.396735 1.517109 1.888249
1.331916 1.425367 1.811651
1.275506 1.339259 1.825062
1.222966 1.258363 1.853244
1.172982 1.182355 1.880684
1.355039 1.512219 1.9074
1.225978 1.178038 1.932353
1.101903 1.031526 1.95585
1.022376 0.954954 1.978019
0.9680761 0.8950671 1.998982
1.033736 1.037804 2.018791
0.9553483 0.8557989 2.037102
0.8808859 0.7670877 2.054141
0.8284558 0.7137461 2.070035
0.7886694 0.6695508 2.084867
3.341596 5.318223 2.9964
2.983968 3.232169 1.973371
1.832429 1.507038 1.985327
1.17156 1.047815 2.006161
0.8930354 0.9263472 2.025665
5.402951 8.773035 3.969881
3.682139 3.467662 1.812985
2.037204 1.773076 1.82267
1.371914 1.577636 1.852992
1.018106 1.312761 1.881735
0.8610106 1.20076 1.909034
0.7804561 1.11285 1.934809
0.7326692 1.042144 1.959183
0.6976999 0.9786004 1.982022
0.681594 0.9433473 2.003316
0.6489367 0.8718653 2.023137
0.6179069 0.8147047 2.041607
0.5906072 0.7646433 2.058804
0.846091 1.213325 2.074919
0.7213424 0.8404655 2.089712
3.066507 4.959888 2.91517
2.107721 2.062817 1.988531
4.264265 6.157844 3.222506
2.746723 2.614492 1.859524
1.613282 1.644046 1.875323
1.052492 1.332269 1.903237
0.7789836 1.147117 1.929554
2.055071 3.298183 2.394515
1.720574 2.09826 1.918414
1.313736 1.641781 1.93924
0.9315485 1.239083 1.963095
0.7297761 1.088968 1.985395
0.6211523 0.9854733 2.006236
0.5650725 0.9173533 2.025711
0.5350116 0.8660072 2.043783
0.508893 0.8101348 2.060589
0.4861237 0.760133 2.07621
0.4655416 0.7140189 2.090697
0.4463126 0.6708597 2.104102
0.428045 0.630334 2.116483
0.5468745 0.8206315 2.128076
7.853545 12.12823 5.633659
10.06396 11.36201 4.746394
5.671396 4.295847 2.842019
2.734677 2.324734 2.627956
1.536933 1.961415 2.448328
4.00178 5.733779 3.407262
8.201914 9.966205 5.585081
6.121376 5.610903 3.895018
4.97466 5.076342 3.869836
2.989949 3.111988 3.487817
2.626798 3.409319 3.249597
10.57365 12.69992 9.250874
12.07873 11.15634 7.924985
7.300159 5.524072 6.617772
3.922476 3.618974 5.640438
2.853562 3.567671 4.905938
7.891869 9.049559 6.92981
5.367788 4.708452 5.738657
3.152485 3.270419 4.992742
2.123149 2.87098 4.415011
1.697057 2.652178 3.957629
36.66158 32.1708 43.39567
40.80285 17.8625 25.9051
22.40756 7.849266 17.61134
86.34384 26.24453 48.37714
85.63192 21.63189 40.98246
46.10873 10.28738 24.85094
22.24548 7.078897 17.31326
12.30442 6.1831 13.09647
8.633559 5.684784 10.45003
7.292925 5.329781 8.658462
6.918617 5.218526 7.38296
6.581838 4.871177 6.437762
6.207676 4.49475 5.713615
6.36867 4.699296 5.147986
6.598186 4.814877 4.699263
61.77097 32.43933 40.24639
41.93361 13.81469 19.4726
21.90913 7.271957 14.44876
12.23463 5.629236 11.39916
8.839843 5.434375 9.387388
42.68771 21.69129 23.98173
236.5924 221.3806 246.0379
283.3979 229.4001 265.6427
157.8364 84.81773 64.15518
74.52636 42.61297 35.05609
77.7475 77.07021 58.38594
52.45723 46.98971 34.45495
34.11628 35.06633 23.72597
25.75658 31.4391 18.15576
26.44818 33.82182 18.30859
32.59347 39.55459 19.78479
48.32986 54.52807 27.88497
100.4968 107.6922 82.39303
96.47189 85.26032 67.72853
65.30656 53.13906 42.66786
49.30168 46.97742 35.14427
37.7447 39.3165 27.48019
29.82027 33.79764 21.69201
30.75621 36.84912 20.6653
32.51802 37.67612 19.93752
32.93201 36.86872 19.49648
34.5854 38.07353 20.11297
28.4389 30.07969 17.10282
22.39038 25.01828 14.20977
20.12004 23.93166 12.78346
19.76431 23.58985 12.03804
17.31768 20.30012 10.67616
15.53247 18.54317 9.645673
14.47179 17.36127 8.84594
13.81834 16.40775 8.208257
13.24324 15.43025 7.683656
12.68857 14.49112 7.242421
12.13224 13.5795 6.868462
11.68827 12.84547 6.549411
11.23704 12.08806 6.272164
11.07707 11.73968 6.031729
10.47826 10.73998 5.812886
9.917046 9.99634 5.611809
9.465951 9.394304 5.429067
9.045852 8.803843 5.263433
8.770482 8.409181 5.11086
8.925675 8.538743 4.986925
8.455843 7.700115 4.856479
7.994627 7.157137 4.733868
7.528997 6.609083 4.618113
7.673674 6.873361 4.554962
80.28052 88.10482 55.34998
86.56953 70.59676 47.73262
51.18685 30.92622 29.98683
37.81393 30.12667 26.59766
45.09205 43.4844 31.29697
29.852 23.8732 22.11416
