qoss qsim qoss1 qsim1 qoss2 qsim2
0.98 1.476858 0.98 1.295472 0.98 1.977515
0.92 1.130819 0.92 0.8481711 0.92 1.879411
0.88 0.8444505 0.88 0.6832179 0.88 1.905629
0.84 0.696423 0.84 0.6161144 0.84 1.93151
0.7 0.6312949 0.7 0.5793389 0.7 1.955782
0.65 0.6236086 0.65 0.571162 0.65 1.978518
0.66 0.6093191 0.66 0.5428317 0.66 1.999804
0.72 0.5680581 0.72 0.4938837 0.72 2.019619
0.63 0.52813 0.63 0.4549446 0.63 2.038081
0.53 0.4983345 0.53 0.4253948 0.53 2.055265
0.52 0.4819733 0.52 0.406103 0.52 2.071246
0.43 0.4661069 0.43 0.3843476 0.43 2.086065
0.39 0.4419525 0.39 0.3556733 0.39 2.099793
0.29 0.4202525 0.29 0.3326507 0.29 2.112518
0.48 0.4279794 0.48 0.3380669 0.48 2.124327
0.51 0.4069561 0.51 0.3075867 0.51 2.135246
0.46 0.3827602 0.46 0.2838412 0.46 2.14535
0.41 0.3601449 0.41 0.2628732 0.41 2.154695
0.41 0.3637652 0.41 0.2678687 0.41 2.163352
0.43 1.10734 0.43 1.004782 0.43 2.278386
0.48 1.142443 0.48 0.810025 0.48 2.159754
0.68 0.7456557 0.68 0.4231393 0.68 2.166857
0.69 0.5076912 0.69 0.3216028 0.69 2.174558
1.35 4.799779 1.35 4.523946 1.35 3.751685
1.7 3.694048 1.7 2.187835 1.7 1.967046
1.17 3.277022 1.17 2.177213 1.17 2.329094
0.96 1.90267 0.96 1.086813 0.96 1.917221
0.83 1.197669 0.83 0.857143 0.83 1.938839
1.9 10.93345 1.9 9.287935 1.9 7.758698
14.9 24.57239 14.9 16.01377 14.9 18.98054
10.3 23.88974 10.3 11.56619 10.3 16.77745
11.2 17.5233 11.2 7.4791 11.2 16.00359
17.8 24.07383 17.8 11.37193 17.8 26.97121
9.96 17.1021 9.96 6.615038 9.96 19.41964
5.55 9.830902 5.55 4.210184 5.55 14.0235
15 18.75618 15 8.385013 15 18.95554
18.3 60.35068 18.3 11.83106 18.3 30.08753
10.5 37.93532 10.5 5.93056 10.5 19.73341
11 40.81043 11 8.074076 11 22.19013
7.18 23.85853 7.18 4.783452 7.18 15.87426
5.28 12.93072 5.28 3.720278 5.28 12.16467
5.75 25.02017 5.75 7.065423 5.75 15.1477
27.2 48.77725 27.2 9.532033 27.2 20.93534
182 187.0649 182 31.9878 182 152.7683
31.1 115.9111 31.1 12.70167 31.1 49.65282
243 200.061 243 38.42249 243 211.5133
627 263.6627 627 57.79978 627 290.6566
142 283.2402 142 140.4432 142 307.0584
61.2 159.2089 61.2 53.57836 61.2 68.49846
60.6 115.3721 60.6 66.19167 60.6 77.29956
58.8 92.66548 58.8 60.5927 58.8 66.10936
62.4 94.00617 62.4 71.78392 62.4 74.04988
51.8 64.0206 51.8 38.85884 51.8 40.90389
41.4 51.7072 41.4 36.25048 41.4 34.26888
53.5 54.40015 53.5 43.92119 53.5 35.46754
180 50.34944 180 38.49897 180 31.20351
609 358.3488 609 388.2584 609 693.419
114 252.7392 114 164.2927 114 109.3894
61.1 133.3098 61.1 76.10286 61.1 51.85919
44.2 77.35403 44.2 58.24244 44.2 37.64006
35.6 51.34605 35.6 48.13167 35.6 26.70525
29.4 40.7056 29.4 43.81707 29.4 20.92767
25.3 36.22133 25.3 40.9528 25.3 17.39519
22.2 33.81736 22.2 38.3807 22.2 15.00769
20.3 32.16346 20.3 36.07093 20.3 13.29033
17.8 30.7791 17.8 33.91692 17.8 12.00101
17.3 29.42256 17.3 31.7798 17.3 10.98848
28 58.03128 28 63.23214 28 47.9086
60.7 104.1782 60.7 104.9904 60.7 89.80611
60.3 71.77283 60.3 52.9545 60.3 41.91259
71.1 99.83598 71.1 97.30757 71.1 89.88916
46.3 85.64142 46.3 71.93723 46.3 59.29496
132 63.4944 132 52.86781 132 40.59895
370 259.1098 370 282.0155 370 431.54
86.9 183.7845 86.9 130.0553 86.9 94.31882
52.1 102.407 52.1 70.20263 52.1 48.98173
37.9 64.49896 37.9 57.8134 37.9 34.8316
30.9 45.12352 30.9 48.32207 30.9 25.02557
27.3 37.51094 27.3 45.07957 27.3 19.78093
24 33.54324 24 41.62743 24 16.5403
20.7 31.1932 20.7 38.86448 20.7 14.34228
18.3 29.43408 18.3 36.31201 18.3 12.75056
16.6 28.27991 16.6 34.39188 16.6 11.55448
15.5 27.0435 15.5 32.21224 15.5 10.61115
13.9 25.88841 13.9 30.25888 13.9 9.845741
13.3 24.70072 13.3 28.30332 13.3 9.206536
12.2 24.41211 12.2 27.6078 12.2 8.84136
11 23.22446 11 25.43639 11 8.359564
10.2 22.3145 10.2 24.07595 10.2 7.947858
10.4 21.16282 10.4 22.32862 10.4 7.582791
27.9 52.24444 27.9 56.29093 27.9 41.18774
317 118.2284 317 120.2617 317 105.4729
219 269.0691 219 268.9902 219 396.381
89.2 167.5924 89.2 105.6416 89.2 73.78267
297 238.5849 297 227.6122 297 319.272
139 210.8858 139 174.5826 139 179.8176
78.3 142.5339 78.3 111.279 78.3 90.7923
50.1 83.85127 50.1 71.35502 50.1 47.40615
36.7 52.99016 36.7 56.90463 36.7 30.85319
30.2 40.48189 30.2 51.9928 30.2 23.30437
26 35.0364 26 48.20296 26 18.89535
23.1 32.4835 23.1 45.32965 23.1 16.09331
19.9 30.84918 19.9 42.63127 19.9 14.16359
17.9 29.43544 17.9 39.99412 17.9 12.75521
16.6 28.27459 16.6 37.70802 16.6 11.68649
15 27.04282 15 35.33874 15 10.84307
13.9 26.18043 13.9 33.56041 13.9 10.16412
13.1 26.7215 13.1 33.48248 13.1 10.78362
12.1 25.53999 12.1 30.80323 12.1 10.10171
11.3 23.68787 11.3 28.07893 11.3 9.469579
10.8 22.24596 10.8 26.17216 10.8 8.940164
10.4 21.19009 10.4 24.61869 10.4 8.492618
9.89 20.19848 9.89 23.04347 9.89 8.1112
9.64 19.33035 9.64 21.65615 9.64 7.788679
9.12 18.57323 9.12 20.41359 9.12 7.546162
8.8 17.8075 8.8 19.16766 8.8 7.303452
8.17 18.40657 8.17 19.68803 8.17 7.982384
8.11 18.18432 8.11 18.68563 8.11 8.185993
7.78 16.65984 7.78 16.47951 7.78 7.731658
7.49 15.44269 7.49 15.18928 7.49 7.346115
7.56 14.60799 7.56 14.25095 7.56 7.0341
7.48 13.94594 7.48 13.39501 7.48 6.764056
7.16 13.51244 7.16 12.78299 7.16 6.610808
6.78 14.07897 6.78 13.32461 6.78 6.921615
6.71 14.03178 6.71 12.76531 6.71 6.833662
6.76 12.71856 6.76 11.00405 6.76 6.518264
6.49 11.71946 6.49 10.10595 6.49 6.235443
6.42 11.19247 6.42 9.647808 6.42 5.985926
7.3 10.86676 7.3 9.262827 7.3 5.7662
3.86 10.3115 3.86 8.53439 3.86 5.567523
8.6 9.763044 8.6 7.922917 8.6 5.384835
7.72 9.337931 7.72 7.473543 7.72 5.217272
7.43 8.993203 7.43 7.087679 7.43 5.062561
6.72 8.685971 6.72 6.731754 6.72 4.91897
6.53 8.390897 6.53 6.391021 6.53 4.785718
6.35 7.937137 6.35 5.853691 6.35 4.661037
6.4 9.324969 6.4 7.758746 6.4 5.216533
6.28 8.522723 6.28 6.134648 6.28 5.015916
6.06 7.656373 6.06 5.352467 6.06 4.832132
6.18 7.101213 6.18 4.972072 6.18 4.669014
5.71 6.627927 5.71 4.554486 5.71 4.521979
5.08 6.311074 5.08 4.304878 5.08 4.388696
4.62 7.14546 4.62 5.482689 4.62 4.598737
4.24 6.437098 4.24 4.223916 4.24 4.445642
4.07 5.839961 4.07 3.757411 4.07 4.307917
3.87 5.398503 3.87 3.427527 3.87 4.183627
3.89 5.930641 3.89 4.28241 3.89 4.278071
4.26 6.578325 4.26 4.897292 4.26 4.524192
4.24 5.70355 4.24 3.547439 4.24 4.3595
3.58 4.981428 3.58 3.01583 3.58 4.212094
3.24 4.517549 3.24 2.723747 3.24 4.079287
3.11 4.228529 3.11 2.536431 3.11 3.957741
3 4.019385 3 2.379489 3 3.845096
2.94 3.84306 2.94 2.235226 2.94 3.739965
2.56 3.681668 2.56 2.100143 2.56 3.641681
2.56 3.541351 2.56 1.989284 2.56 3.549292
2.58 3.433143 2.58 1.914653 2.58 3.462411
2.66 3.309461 2.66 1.809274 2.66 3.38096
2.58 3.165279 2.58 1.685799 2.58 3.304677
2.56 3.032005 2.56 1.586587 2.56 3.23297
2.61 2.88643 2.61 1.466799 2.61 3.165951
2.48 2.755167 2.48 1.371649 2.48 3.103039
2.43 2.636635 2.43 1.287605 2.43 3.043192
2.44 2.526311 2.44 1.209649 2.44 2.986932
2.49 2.456227 2.49 1.183197 2.49 2.947044
2.57 2.343753 2.57 1.083502 2.57 2.899296
2.57 2.236086 2.57 1.009298 2.57 2.855315
2.66 2.138825 2.66 0.9466761 2.66 2.813503
2.47 2.151752 2.47 1.028511 2.47 2.774638
2.31 2.029262 2.31 0.882069 2.31 2.737421
2.48 2.912 2.48 2.154195 2.48 3.012978
2.4 2.918487 2.4 1.826898 2.4 3.097099
2.51 2.373922 2.51 1.154462 2.51 3.036421
2.65 2.214466 2.65 1.219532 2.65 3.044543
2.66 2.095552 2.66 1.157875 2.66 3.022752
2.48 1.819851 2.48 0.8666291 2.48 2.950017
2.3 2.050872 2.3 1.315579 2.3 2.94971
2.3 2.588934 2.3 1.959505 2.3 2.995987
4.24 14.31699 4.24 16.59966 4.24 12.60132
5.13 20.08288 5.13 14.68963 5.13 10.13814
4.1 12.57424 4.1 6.408006 4.1 8.77139
3.57 7.394462 3.57 4.018583 3.57 7.767714
2.78 4.350354 2.78 2.855626 2.78 6.81896
2.53 5.217699 2.53 3.719214 2.53 6.323724
2.48 8.232913 2.48 7.159805 2.48 6.388917
2.48 6.076202 2.48 4.329675 2.48 5.848783
2.45 5.069261 2.45 4.211455 2.45 5.383666
2.47 3.526858 2.47 2.876012 2.47 4.955354
2.42 2.623382 2.42 2.381108 2.42 4.602841
2.34 2.216781 2.34 2.18588 2.34 4.308784
2.32 2.025827 2.32 2.047694 2.32 4.059735
2.32 1.934352 2.32 1.952279 2.32 3.845893
2.38 1.845565 2.38 1.826453 2.38 3.660208
2.37 1.771517 2.37 1.723954 2.37 3.497117
2.48 1.682687 2.48 1.60017 2.48 3.350833
2.52 1.603347 2.52 1.498006 2.52 3.217433
2.39 1.533135 2.39 1.406511 2.39 3.095698
2.44 1.468547 2.44 1.321401 2.44 2.984924
2.38 1.407614 2.38 1.241564 2.38 2.884293
2.38 1.349509 2.38 1.166568 2.38 2.792335
2.45 1.293891 2.45 1.096104 2.45 2.7084
16.8 14.48655 16.8 18.34298 16.8 12.19366
24.7 47.27685 24.7 46.11198 24.7 19.96658
14.1 38.13381 14.1 26.70535 14.1 15.09935
10.1 23.07718 10.1 14.8245 10.1 12.6383
8.7 20.24449 8.7 17.73008 8.7 12.05591
7.86 11.82532 7.86 9.418102 7.86 9.83242
7.36 6.81802 7.36 6.791943 7.36 8.282645
7.47 4.687958 7.47 6.002111 7.47 7.15772
10 3.881367 10 5.607417 10 6.312118
17.3 37.99471 17.3 44.17711 17.3 16.70097
12.7 25.54462 12.7 18.34277 12.7 10.91074
11.9 25.35892 11.9 23.28961 11.9 12.07927
11.5 17.05214 11.5 14.47558 11.5 10.39161
11.6 10.20706 11.6 9.766043 11.6 8.724606
12 6.709869 12 8.079756 12 7.514301
10.5 5.231861 10.5 7.362735 10.5 6.604814
9.68 5.008737 9.68 7.394484 9.68 5.904757
25.5 43.75008 25.5 50.57694 25.5 21.77144
